#name,xi,yi,xf,yf
a1,89,439,116,455
a2,88,463,115,475
a3,87,477,114,489
a4,86,492,116,502
a5,87,504,115,515
a6,88,519,115,531
a7,88,532,116,544
a8,85,548,113,559
a9,85,562,111,574
b1,154,427,177,441
b2,154,443,177,455
b3,153,456,178,470
b4,153,471,177,485
b5,153,488,176,499
b6,154,500,177,512
b7,153,514,176,524
b8,154,527,176,539
b9,155,540,177,555
b10,152,557,177,569
c1,177,412,202,426
c2,179,429,203,439
c3,179,443,204,454
c4,179,457,206,470
c5,179,472,202,483
c6,181,485,204,497
c7,181,500,204,511
c8,180,515,205,525
c9,182,529,206,540
c10,180,544,204,554
c11,179,556,203,566
d1,243,390,264,405
d2,240,416,264,428
d3,238,431,265,443
d4,239,444,263,457
d5,240,458,264,472
d6,240,474,261,484
d7,240,487,263,497
d8,239,499,262,512
d9,241,515,260,526
d10,239,530,262,540
d11,241,542,264,554
d12,240,558,264,569
e1,265,391,287,404
e2,266,416,290,428
e3,266,429,290,445
e4,265,444,289,457
e5,265,461,289,471
e6,265,474,288,485
e7,264,487,288,498
e8,264,504,291,513
e9,263,514,290,527
e10,266,532,289,540
e11,264,544,291,556
e12,264,559,290,571
f1,324,356,345,368
f2,322,369,347,380
f3,320,381,347,392
f4,320,395,348,404
f5,321,406,347,414
f6,321,416,348,424
f7,322,425,344,437
f8,324,437,344,447
f9,323,447,346,459
f10,323,458,344,471
f11,324,468,345,479
f12,324,479,348,492
f12,324,492,347,504
f13,325,504,346,515
f14,320,515,346,526
f15,322,528,343,536
f16,325,536,345,548
f17,323,547,344,559
f18,324,559,343,571
g1,348,356,370,368
g2,348,367,370,381
g3,350,380,370,390
g4,350,392,369,402
g5,349,403,371,413
g6,350,413,371,425
g7,350,425,370,436
g8,348,436,368,445
g9,347,448,367,458
g10,347,457,370,470
g11,346,471,371,480
g12,348,482,372,493
g13,348,494,371,504
g14,348,503,372,515
g15,348,514,371,526
g16,348,526,370,537
g17,345,536,368,547
g18,346,548,366,558
g19,346,562,367,571
h1,415,314,437,331
h2,416,331,437,344
h3,415,346,438,359
h4,416,359,438,372
h5,415,374,435,388
h6,416,390,436,401
h7,413,402,437,415
h8,413,415,436,427
h9,414,429,434,440
h10,413,443,438,457
h11,414,458,435,469
h12,413,472,435,484
h13,414,485,434,498
h14,415,500,435,512
h15,411,512,435,524
h16,413,526,435,540
h17,415,541,435,555
h18,413,557,434,570
i1,438,293,463,308
i2,438,315,464,330
i3,439,332,464,343
i4,439,344,463,357
i5,439,359,463,373
i6,438,372,465,383
i7,438,403,466,414
i8,438,387,466,398
i9,439,417,464,428
i10,439,433,462,442
i11,439,444,464,456
i12,439,458,465,469
i13,439,471,463,484
i14,439,487,463,498
i15,437,501,463,513
i16,438,515,463,525
i17,436,526,464,540
i18,437,543,461,554
i19,436,557,460,568
j1,498,238,520,251
j2,499,252,521,265
j3,498,266,521,278
j4,498,278,520,291
j5,497,291,521,306
j6,499,307,521,320
j7,498,319,520,332
j8,498,334,520,347
j9,499,347,518,361
j10,498,361,521,378
j11,497,378,521,391
j12,497,392,521,404
j13,499,405,520,419
j14,499,420,520,431
j15,500,433,521,447
j16,499,448,521,462
j17,500,462,523,477
j18,497,477,520,491
j19,497,492,520,505
j20,498,504,521,518
j21,498,519,520,530
j22,498,532,522,546
j23,498,548,521,559
j24,498,560,520,574
k1,525,217,547,232
k2,523,240,547,253
k3,523,255,547,265
k4,522,269,549,281
k5,524,282,548,293
k6,522,295,547,307
k7,524,306,547,322
k8,524,324,546,336
k9,522,337,548,348
k10,525,352,549,365
k11,524,366,549,378
k12,524,379,545,391
k13,522,394,545,404
k14,524,407,547,418
k15,524,422,547,433
k16,524,436,548,447
k17,524,451,546,462
k18,522,464,546,476
k19,524,476,548,490
k20,524,492,546,504
k21,523,505,546,518
k22,522,520,544,533
k23,523,536,546,545
k24,522,547,547,560
k25,523,561,547,573
l1,583,151,604,167
l2,583,167,604,181
l3,579,182,604,195
l4,580,195,602,207
l5,581,209,604,222
l6,583,222,603,237
l7,583,234,605,250
l8,583,250,606,264
l9,586,265,603,276
l10,584,279,606,290
l11,585,294,604,305
l12,583,306,605,319
l13,584,319,604,332
l14,582,332,604,344
l15,583,346,603,359
l16,582,362,603,374
l17,583,374,604,387
l18,583,390,604,401
l19,583,407,604,415
l20,582,418,603,430
l21,582,433,601,443
l22,583,445,605,457
l23,581,464,603,474
l24,581,474,605,487
l25,582,489,606,501
l26,583,502,604,514
l27,581,517,606,528
l28,582,530,604,545
l29,582,545,604,558
l30,583,559,607,571
m1,605,129,630,146
m2,608,154,632,167
m3,607,169,631,181
m4,606,181,629,193
m5,605,193,630,206
m6,608,210,631,222
m7,607,223,630,236
m8,606,235,630,251
m9,608,250,631,263
m10,609,263,631,277
m11,606,280,630,291
m12,605,293,630,307
m13,609,303,631,318
m14,607,319,629,333
m15,608,332,630,345
m16,610,347,631,361
m17,608,362,630,375
m18,607,376,634,389
m19,605,392,631,403
m20,606,404,631,416
m21,606,418,630,429
m22,607,433,631,443
m23,606,446,632,457
m24,604,462,632,473
m25,605,476,632,487
m26,607,488,632,500
m27,607,502,631,515
m28,607,515,632,529
m29,607,529,631,542
m30,607,543,630,555
m31,607,557,630,570
n1,663,73,686,87
n2,665,101,687,113
n3,664,115,687,128
n4,665,126,687,141
n5,664,140,688,155
n6,667,155,685,167
n7,665,167,687,181
n8,667,182,686,195
n9,663,196,686,208
n10,667,211,690,222
n11,664,225,686,236
n12,666,237,687,250
n13,665,255,688,265
n14,666,266,687,279
n15,667,278,686,293
n16,667,292,686,305
n17,665,307,687,317
n18,667,320,687,333
n19,665,338,688,348
n20,666,349,688,361
n21,666,364,687,374
n22,664,376,687,391
n23,666,392,689,404
n24,667,406,689,419
n25,665,419,691,432
n26,663,432,688,447
n27,665,448,689,461
n28,667,463,690,475
n29,665,475,687,489
n30,664,491,688,501
n31,666,503,690,514
n32,662,516,689,529
n33,664,532,687,543
n34,665,544,689,558
#o1,691,75,713,90
#o2,689,103,712,114
#o3,689,115,711,127
#o4,689,129,712,140
#o5,689,140,712,153
#o6,690,154,715,167
#o7,689,165,715,181
#o8,691,183,715,197
#o9,689,197,715,208
#o10,689,212,714,222
#o11,690,223,714,235
#o12,689,235,715,250
#o13,689,252,714,264
#o14,691,267,715,278
#o15,690,279,715,292
#o16,691,293,713,305
#o17,691,305,714,318
#o18,692,320,712,334
#o19,692,337,715,348
#o20,691,348,716,361
#o21,690,361,714,374
#o22,690,377,715,390
#o23,690,390,714,404
#o24,690,405,713,419
#o25,691,418,715,430
#o26,691,431,713,445
#o27,691,446,714,458
#o28,691,462,715,474
#o29,691,473,712,487
#o30,690,489,714,501
#o31,689,517,714,529
#o32,690,528,715,544
#o33,690,543,714,557
#o34,690,502,714,515
#p1,748,74,771,88
#p2,746,102,772,115
#p3,747,116,771,128
#p4,749,128,770,141
#p5,749,140,771,153
#p6,749,156,771,169
#p7,749,170,772,181
#p8,748,184,770,196
#p9,747,197,769,209
#p10,749,211,770,225
#p11,748,226,770,238
#p12,750,241,775,253
#p13,747,254,772,266
#p14,747,266,772,278
#p15,749,279,771,291
#p16,749,292,772,304
#p17,749,307,774,317
#p18,746,322,771,335
#p19,748,336,772,348
#p20,749,348,771,361
#p21,749,362,773,374
#p22,747,375,775,389
#p23,747,391,772,402
#p24,748,404,774,417
#p25,748,420,774,429
#p26,750,432,773,446
#p27,747,446,772,457
#p28,748,458,773,471
#p29,748,473,773,486
#p30,749,489,773,501
#p31,751,501,774,516
#p32,750,516,774,531
#p33,749,531,772,543
#p34,751,544,775,558
#p35,750,560,775,572
#q1,772,75,795,91
#q2,772,102,796,113
#q3,772,118,795,128
#q4,774,126,796,140
#q5,774,142,796,156
#q6,773,154,798,169
#q7,774,170,800,182
#q8,774,181,799,198
#q9,774,194,797,211
#q10,774,210,800,223
#q11,773,224,800,236
#q12,775,238,799,251
#q13,775,253,797,265
#q14,776,269,796,279
#q15,775,281,796,292
#q16,776,293,798,307
#q17,775,309,798,319
#q18,773,324,797,334
#q19,774,336,797,349
#q20,775,348,797,361
#q21,774,365,796,376
#q22,772,377,799,391
#q23,773,392,798,404
#q24,775,404,797,417
#q25,774,417,799,433
#q26,770,433,798,445
#q27,775,446,799,458
#q28,776,460,801,472
#q29,774,475,798,488
#q30,774,488,801,501
#q31,778,501,802,514
#q32,776,516,799,529
#q33,773,532,799,544
#q34,775,545,800,556
#q35,775,558,802,571
#r1,830,86,852,97
#r2,830,97,852,111
#r3,830,111,853,126
#r4,830,126,853,139
#r5,829,139,852,151
#r6,830,150,852,165
#r7,832,166,856,176
#r8,832,178,853,189
#r9,829,190,854,206
#r10,827,220,854,235
#r11,828,235,853,247
#r12,831,246,852,260
#r13,832,260,854,276
#r14,829,276,854,291
#r15,830,289,854,303
#r16,831,302,854,316
#r17,831,319,855,331
#r18,831,332,855,344
#r19,831,346,855,359
#r20,832,374,854,387
#r21,832,359,854,372
#r22,831,387,854,402
#r23,831,401,854,414
#r24,832,413,855,429
#r25,832,427,857,444
#r26,833,442,856,458
#r27,833,457,856,470
#r28,831,469,856,484
#r29,832,486,856,497
#r30,832,498,856,514
#r31,833,513,857,526
#r32,834,527,858,539
#r33,833,541,857,552
#r34,834,555,857,565
#r35,831,207,854,220
#s1,856,85,879,97
#s2,856,101,880,112
#s3,854,115,879,127
#s4,856,128,878,142
#s5,855,138,878,151
#s6,856,152,881,164
#s7,855,164,883,178
#s8,857,180,880,192
#s9,856,195,881,205
#s10,853,206,880,220
#s11,856,221,879,235
#s12,853,236,881,250
#s13,856,248,880,261
#s14,857,262,880,276
#s15,856,277,881,290
#s16,855,288,881,303
#s17,855,303,880,317
#s18,855,318,878,332
#s19,856,332,880,345
#s20,857,345,880,358
#s21,858,360,880,373
#s22,857,374,881,388
#s23,857,389,880,403
#s24,857,405,883,416
#s25,859,415,883,429
#s26,857,429,883,442
#s27,858,443,885,457
#s28,855,460,883,470
#s29,857,472,881,486
#s30,857,485,881,498
#s31,857,499,884,511
#s32,856,513,881,526
#s33,857,526,882,541
#s34,859,541,883,554
#s35,857,556,882,569
#t1,913,147,935,160
#t2,912,161,935,175
#t3,912,172,936,188
#t4,914,190,935,202
#t5,914,204,937,216
#t6,913,214,935,228
#t7,914,229,937,242
#t8,914,242,938,257
#t9,913,257,936,270
#t10,911,273,936,284
#t11,913,284,936,297
#t12,913,299,938,310
#t13,913,313,938,324
#t14,914,325,936,340
#t15,914,342,938,353
#t16,913,353,938,368
#t17,915,369,940,381
#t18,915,381,938,394
#t19,917,396,940,409
#t20,916,408,937,421
#t21,916,421,939,435
#t22,916,436,939,450
#t23,916,449,937,463
#t24,916,464,939,478
#t25,916,479,941,494
#t26,914,493,939,504
#t27,915,503,939,517
#t28,916,518,940,532
#t29,917,532,942,549
#t30,918,549,941,558
#t31,918,562,941,576
#u1,936,150,960,159
#u2,936,162,961,175
#u3,935,177,960,189
#u4,938,189,962,201
#u5,936,202,960,215
#u6,937,215,962,229
#u7,936,229,962,244
#u8,940,243,962,255
#u9,939,257,962,271
#u10,939,269,963,283
#u11,939,282,964,298
#u12,941,298,964,310
#u13,940,313,963,326
#u14,941,324,964,340
#u15,937,342,963,352
#u16,938,353,962,366
#u17,940,365,965,380
#u18,940,380,964,396
#u19,941,396,965,408
#u20,939,405,963,421
#u21,941,422,963,436
#u22,940,438,963,450
#u23,941,451,963,464
#u24,941,465,964,477
#u25,939,478,966,491
#u26,942,495,966,504
#u27,943,506,968,520
#u28,942,521,966,534
#u29,943,536,965,547
#u30,941,548,965,560
#u31,942,563,966,575
#v1,995,103,1020,123
#v2,997,123,1020,135
#v3,998,135,1018,149
#v4,999,150,1020,162
#v5,1000,163,1022,175
#v6,997,173,1022,188
#v7,999,188,1022,200
#v8,997,202,1022,213
#v9,1000,215,1024,227
#v10,1000,229,1023,240
#v11,999,241,1024,255
#v12,1000,258,1024,268
#v13,998,269,1024,280
#v14,1000,280,1024,296
#v15,1000,293,1024,310
#v16,999,310,1026,322
#v17,1001,324,1026,337
#v18,1000,338,1024,350
#v19,1000,352,1024,367
#v20,1002,381,1024,394
#v21,1000,410,1026,421
#v22,1001,424,1025,437
#v23,1002,440,1029,449
#v24,1001,448,1027,463
